scenario,die,avg_temp_c,max_temp_c
s0_uniform,base_die_phy,114.745,114.745
s0_uniform,base_die_tsva,114.745,114.745
s0_uniform,base_die_da,114.745,114.745
s0_uniform,bump_layer_1,114.61900000000003,114.61900000000003
s0_uniform,bump_layer_2,114.39700000000005,114.39700000000005
s0_uniform,bump_layer_3,114.15300000000002,114.15300000000002
s0_uniform,bump_layer_4,113.88800000000003,113.88800000000003
s0_uniform,bump_layer_5,113.601,113.601
s0_uniform,bump_layer_6,113.29200000000003,113.29200000000003
s0_uniform,bump_layer_7,112.96100000000001,112.96100000000001
s0_uniform,dram_die_1,114.51400000000001,114.51400000000001
s0_uniform,dram_die_2,114.281,114.281
s0_uniform,dram_die_3,114.02600000000001,114.02600000000001
s0_uniform,dram_die_4,113.75,113.75
s0_uniform,dram_die_5,113.452,113.452
s0_uniform,dram_die_6,113.132,113.132
s0_uniform,dram_die_7,112.791,112.791
s0_uniform,top_die,112.74900000000002,112.74900000000002
s0_uniform,EMC,105.45500000000004,105.45500000000004
s1_phy_moderate,base_die_phy,124.88400000000001,126.156
s1_phy_moderate,base_die_tsva,113.084,120.46700000000004
s1_phy_moderate,base_die_da,108.42500000000001,108.541
s1_phy_moderate,bump_layer_1,114.61900000000003,125.86500000000001
s1_phy_moderate,bump_layer_2,114.39700000000005,125.37900000000002
s1_phy_moderate,bump_layer_3,114.15300000000002,124.90000000000003
s1_phy_moderate,bump_layer_4,113.88800000000003,124.42700000000002
s1_phy_moderate,bump_layer_5,113.601,123.96200000000005
s1_phy_moderate,bump_layer_6,113.29200000000003,123.50300000000004
s1_phy_moderate,bump_layer_7,112.96100000000001,123.05100000000004
s1_phy_moderate,dram_die_1,114.51400000000001,125.62
s1_phy_moderate,dram_die_2,114.281,125.137
s1_phy_moderate,dram_die_3,114.02600000000001,124.66200000000003
s1_phy_moderate,dram_die_4,113.75,124.19300000000004
s1_phy_moderate,dram_die_5,113.452,123.731
s1_phy_moderate,dram_die_6,113.132,123.27500000000003
s1_phy_moderate,dram_die_7,112.791,122.82600000000002
s1_phy_moderate,top_die,112.74900000000002,122.77500000000003
s1_phy_moderate,EMC,105.45500000000004,114.46900000000005
s2_phy_heavy,base_die_phy,131.86100000000005,133.976
s2_phy_heavy,base_die_tsva,112.03900000000004,124.524
s2_phy_heavy,base_die_da,103.649,103.91300000000001
s2_phy_heavy,bump_layer_1,114.61900000000003,133.574
s2_phy_heavy,bump_layer_2,114.39700000000005,132.911
s2_phy_heavy,bump_layer_3,114.15300000000002,132.27500000000003
s2_phy_heavy,bump_layer_4,113.88800000000003,131.66400000000004
s2_phy_heavy,bump_layer_5,113.601,131.08000000000004
s2_phy_heavy,bump_layer_6,113.29200000000003,130.52000000000004
s2_phy_heavy,bump_layer_7,112.96100000000001,129.985
s2_phy_heavy,dram_die_1,114.51400000000001,133.23600000000005
s2_phy_heavy,dram_die_2,114.281,132.58700000000005
s2_phy_heavy,dram_die_3,114.02600000000001,131.96300000000002
s2_phy_heavy,dram_die_4,113.75,131.36600000000004
s2_phy_heavy,dram_die_5,113.452,130.793
s2_phy_heavy,dram_die_6,113.132,130.24600000000004
s2_phy_heavy,dram_die_7,112.791,129.72400000000005
s2_phy_heavy,top_die,112.74900000000002,129.66700000000003
s2_phy_heavy,EMC,105.45500000000004,120.66500000000002
