항목,판정/값,근거수치
G4_A계열_평균오차%,0.3273,합격선10% -> PASS
G4_A계열_진폭비율,0.8905,"합격선[0.9,1.1] -> FAIL"
G4_A계열_종합,FAIL,Icepak진폭36.037K vs 3DICE진폭32.093K
G4_B계열_참고_평균오차%,28.2851,판정제외(R1완화)-3D-ICE bottomsink 최초실측 대폭괴리
H1_판정,H1a(선형),"dT=36.037K, 비율1.8500x, 밴드[31.05,42.00]K"
H2_판정,PASS,DRAM온도 최대편차0.000051%(기준<0.01%)
H3_판정,초과,"R=5.1386K/W vs P2실측4.671K/W, 편차10.01%(기준±5%)"
Q2_관찰,억제율14.1%,"dT_B=30.974K vs dT_A=36.037K, 비율0.8595"
G4_A계열_진폭비율_avg대avg_T1,1.0137,"합격선[0.9,1.1] -> PASS | Icepak avg진폭31.659K vs 3DICE avg진폭32.093K | P5 T1 avg-avg 재구성(대안 비교축 결과 추가, 기존 max대avg 행은 불변)"
G4_B계열_진폭비율_avg대avg_T3,0.7616,"합격선[0.9,1.1] -> FAIL | Icepak avg진폭32.298K vs 3DICE avg진폭24.597K | P5 T3 avg-avg 진폭비율 재구성(B계열, S0 앵커=base_die 폴백) | 평균오차는 기존 comparison.py가 이미 avg-avg 산출(재구성 여지 없음, §4.2 FAIL 유지)"
